codigo,titulo,secao,grupo,tipo
BIH18,Jogador BIH18,Bosnia,Grupo B,Comum
BIH19,Jogador BIH19,Bosnia,Grupo B,Comum
BIH20,Jogador BIH20,Bosnia,Grupo B,Comum
CUW5,Jogador CUW5,Curacao,Grupo E,Comum
CUW6,Jogador CUW6,Curacao,Grupo E,Comum
CUW7,Jogador CUW7,Curacao,Grupo E,Comum
CUW8,Jogador CUW8,Curacao,Grupo E,Comum
CUW9,Jogador CUW9,Curacao,Grupo E,Comum
CUW10,Jogador CUW10,Curacao,Grupo E,Comum
CUW11,Escudo,Curacao,Grupo E,Especial
CUW12,Jogador CUW12,Curacao,Grupo E,Comum
CUW13,Jogador CUW13,Curacao,Grupo E,Comum
CUW14,Jogador CUW14,Curacao,Grupo E,Comum
CUW15,Jogador CUW15,Curacao,Grupo E,Comum
CUW16,Jogador CUW16,Curacao,Grupo E,Comum
CUW17,Jogador CUW17,Curacao,Grupo E,Comum
CUW18,Jogador CUW18,Curacao,Grupo E,Comum
CUW19,Jogador CUW19,Curacao,Grupo E,Comum
CUW20,Jogador CUW20,Curacao,Grupo E,Comum
CIV5,Jogador CIV5,Costa do Marfim,Grupo E,Comum
ECU5,Jogador ECU5,Equador,Grupo E,Comum
CIV6,Jogador CIV6,Costa do Marfim,Grupo E,Comum
ECU6,Jogador ECU6,Equador,Grupo E,Comum
CIV7,Jogador CIV7,Costa do Marfim,Grupo E,Comum
ECU7,Jogador ECU7,Equador,Grupo E,Comum
CIV8,Jogador CIV8,Costa do Marfim,Grupo E,Comum
ECU8,Jogador ECU8,Equador,Grupo E,Comum
CIV9,Jogador CIV9,Costa do Marfim,Grupo E,Comum
CIV10,Jogador CIV10,Costa do Marfim,Grupo E,Comum
CIV11,Escudo,Costa do Marfim,Grupo E,Especial
CIV12,Jogador CIV12,Costa do Marfim,Grupo E,Comum
CIV13,Jogador CIV13,Costa do Marfim,Grupo E,Comum
CIV14,Jogador CIV14,Costa do Marfim,Grupo E,Comum
CIV15,Jogador CIV15,Costa do Marfim,Grupo E,Comum
CIV16,Jogador CIV16,Costa do Marfim,Grupo E,Comum
CIV17,Jogador CIV17,Costa do Marfim,Grupo E,Comum
CIV18,Jogador CIV18,Costa do Marfim,Grupo E,Comum
CIV19,Jogador CIV19,Costa do Marfim,Grupo E,Comum
CIV20,Jogador CIV20,Costa do Marfim,Grupo E,Comum
ECU9,Jogador ECU9,Equador,Grupo E,Comum
ECU10,Jogador ECU10,Equador,Grupo E,Comum
ECU11,Escudo,Equador,Grupo E,Especial
ECU12,Jogador ECU12,Equador,Grupo E,Comum
ECU13,Jogador ECU13,Equador,Grupo E,Comum
ECU14,Jogador ECU14,Equador,Grupo E,Comum
ECU15,Jogador ECU15,Equador,Grupo E,Comum
ECU16,Jogador ECU16,Equador,Grupo E,Comum
ECU17,Jogador ECU17,Equador,Grupo E,Comum
ECU18,Jogador ECU18,Equador,Grupo E,Comum
ECU19,Jogador ECU19,Equador,Grupo E,Comum
ECU20,Jogador ECU20,Equador,Grupo E,Comum
NED5,Jogador NED5,Holanda,Grupo F,Comum
NED6,Jogador NED6,Holanda,Grupo F,Comum
NED7,Jogador NED7,Holanda,Grupo F,Comum
NED8,Jogador NED8,Holanda,Grupo F,Comum
NED9,Jogador NED9,Holanda,Grupo F,Comum
NED10,Jogador NED10,Holanda,Grupo F,Comum
NED11,Escudo,Holanda,Grupo F,Especial
NED12,Jogador NED12,Holanda,Grupo F,Comum
NED13,Jogador NED13,Holanda,Grupo F,Comum
NED14,Jogador NED14,Holanda,Grupo F,Comum
NED15,Jogador NED15,Holanda,Grupo F,Comum
NED16,Jogador NED16,Holanda,Grupo F,Comum
NED17,Jogador NED17,Holanda,Grupo F,Comum
NED18,Jogador NED18,Holanda,Grupo F,Comum
NED19,Jogador NED19,Holanda,Grupo F,Comum
NED20,Jogador NED20,Holanda,Grupo F,Comum
JPN5,Jogador JPN5,Japao,Grupo F,Comum
JPN6,Jogador JPN6,Japao,Grupo F,Comum
JPN7,Jogador JPN7,Japao,Grupo F,Comum
JPN8,Jogador JPN8,Japao,Grupo F,Comum
JPN9,Jogador JPN9,Japao,Grupo F,Comum
SWE5,Jogador SWE5,Suecia,Grupo F,Comum
TUN5,Jogador TUN5,Tunisia,Grupo F,Comum
SWE6,Jogador SWE6,Suecia,Grupo F,Comum
TUN6,Jogador TUN6,Tunisia,Grupo F,Comum
SWE7,Jogador SWE7,Suecia,Grupo F,Comum
TUN7,Jogador TUN7,Tunisia,Grupo F,Comum
SWE8,Jogador SWE8,Suecia,Grupo F,Comum
TUN8,Jogador TUN8,Tunisia,Grupo F,Comum
SWE9,Jogador SWE9,Suecia,Grupo F,Comum
SWE10,Jogador SWE10,Suecia,Grupo F,Comum
SWE11,Escudo,Suecia,Grupo F,Especial
SWE12,Jogador SWE12,Suecia,Grupo F,Comum
SWE13,Jogador SWE13,Suecia,Grupo F,Comum
SWE14,Jogador SWE14,Suecia,Grupo F,Comum
SWE15,Jogador SWE15,Suecia,Grupo F,Comum
SWE16,Jogador SWE16,Suecia,Grupo F,Comum
SWE17,Jogador SWE17,Suecia,Grupo F,Comum
SWE18,Jogador SWE18,Suecia,Grupo F,Comum
SWE19,Jogador SWE19,Suecia,Grupo F,Comum
SWE20,Jogador SWE20,Suecia,Grupo F,Comum
TUN9,Jogador TUN9,Tunisia,Grupo F,Comum
TUN10,Jogador TUN10,Tunisia,Grupo F,Comum
TUN11,Escudo,Tunisia,Grupo F,Especial
TUN12,Jogador TUN12,Tunisia,Grupo F,Comum
TUN13,Jogador TUN13,Tunisia,Grupo F,Comum
TUN14,Jogador TUN14,Tunisia,Grupo F,Comum
TUN15,Jogador TUN15,Tunisia,Grupo F,Comum
TUN16,Jogador TUN16,Tunisia,Grupo F,Comum
TUN17,Jogador TUN17,Tunisia,Grupo F,Comum
TUN18,Jogador TUN18,Tunisia,Grupo F,Comum
TUN19,Jogador TUN19,Tunisia,Grupo F,Comum
TUN20,Jogador TUN20,Tunisia,Grupo F,Comum
JPN10,Jogador JPN10,Japao,Grupo F,Comum
JPN11,Escudo,Japao,Grupo F,Especial
JPN12,Jogador JPN12,Japao,Grupo F,Comum
JPN13,Jogador JPN13,Japao,Grupo F,Comum
JPN14,Jogador JPN14,Japao,Grupo F,Comum
JPN15,Jogador JPN15,Japao,Grupo F,Comum
JPN16,Jogador JPN16,Japao,Grupo F,Comum
JPN17,Jogador JPN17,Japao,Grupo F,Comum
JPN18,Jogador JPN18,Japao,Grupo F,Comum
JPN19,Jogador JPN19,Japao,Grupo F,Comum
JPN20,Jogador JPN20,Japao,Grupo F,Comum
BEL5,Jogador BEL5,Belgica,Grupo G,Comum
BEL6,Jogador BEL6,Belgica,Grupo G,Comum
BEL7,Jogador BEL7,Belgica,Grupo G,Comum
BEL8,Jogador BEL8,Belgica,Grupo G,Comum
BEL9,Jogador BEL9,Belgica,Grupo G,Comum
BEL10,Jogador BEL10,Belgica,Grupo G,Comum
BEL11,Escudo,Belgica,Grupo G,Especial
BEL12,Jogador BEL12,Belgica,Grupo G,Comum
BEL13,Jogador BEL13,Belgica,Grupo G,Comum
BEL14,Jogador BEL14,Belgica,Grupo G,Comum
BEL15,Jogador BEL15,Belgica,Grupo G,Comum
BEL16,Jogador BEL16,Belgica,Grupo G,Comum
BEL17,Jogador BEL17,Belgica,Grupo G,Comum
BEL18,Jogador BEL18,Belgica,Grupo G,Comum
BEL19,Jogador BEL19,Belgica,Grupo G,Comum
BEL20,Jogador BEL20,Belgica,Grupo G,Comum
EGY5,Jogador EGY5,Egito,Grupo G,Comum
EGY6,Jogador EGY6,Egito,Grupo G,Comum
EGY7,Jogador EGY7,Egito,Grupo G,Comum
EGY8,Jogador EGY8,Egito,Grupo G,Comum
EGY9,Jogador EGY9,Egito,Grupo G,Comum
EGY10,Jogador EGY10,Egito,Grupo G,Comum
EGY11,Escudo,Egito,Grupo G,Especial
EGY12,Jogador EGY12,Egito,Grupo G,Comum
EGY13,Jogador EGY13,Egito,Grupo G,Comum
EGY14,Jogador EGY14,Egito,Grupo G,Comum
EGY15,Jogador EGY15,Egito,Grupo G,Comum
EGY16,Jogador EGY16,Egito,Grupo G,Comum
EGY17,Jogador EGY17,Egito,Grupo G,Comum
EGY18,Jogador EGY18,Egito,Grupo G,Comum
EGY19,Jogador EGY19,Egito,Grupo G,Comum
EGY20,Jogador EGY20,Egito,Grupo G,Comum
IRN5,Jogador IRN5,Ira,Grupo G,Comum
NZL5,Jogador NZL5,Nova Zelandia,Grupo G,Comum
IRN6,Jogador IRN6,Ira,Grupo G,Comum
NZL6,Jogador NZL6,Nova Zelandia,Grupo G,Comum
IRN7,Jogador IRN7,Ira,Grupo G,Comum
NZL7,Jogador NZL7,Nova Zelandia,Grupo G,Comum
IRN8,Jogador IRN8,Ira,Grupo G,Comum
NZL8,Jogador NZL8,Nova Zelandia,Grupo G,Comum
IRN9,Jogador IRN9,Ira,Grupo G,Comum
NZL9,Jogador NZL9,Nova Zelandia,Grupo G,Comum
IRN10,Jogador IRN10,Ira,Grupo G,Comum
IRN11,Escudo,Ira,Grupo G,Especial
IRN12,Jogador IRN12,Ira,Grupo G,Comum
IRN13,Jogador IRN13,Ira,Grupo G,Comum
IRN14,Jogador IRN14,Ira,Grupo G,Comum
IRN15,Jogador IRN15,Ira,Grupo G,Comum
IRN16,Jogador IRN16,Ira,Grupo G,Comum
IRN17,Jogador IRN17,Ira,Grupo G,Comum
IRN18,Jogador IRN18,Ira,Grupo G,Comum
IRN19,Jogador IRN19,Ira,Grupo G,Comum
IRN20,Jogador IRN20,Ira,Grupo G,Comum
NZL10,Jogador NZL10,Nova Zelandia,Grupo G,Comum
NZL11,Escudo,Nova Zelandia,Grupo G,Especial
NZL12,Jogador NZL12,Nova Zelandia,Grupo G,Comum
NZL13,Jogador NZL13,Nova Zelandia,Grupo G,Comum
NZL14,Jogador NZL14,Nova Zelandia,Grupo G,Comum
NZL15,Jogador NZL15,Nova Zelandia,Grupo G,Comum
NZL16,Jogador NZL16,Nova Zelandia,Grupo G,Comum
NZL17,Jogador NZL17,Nova Zelandia,Grupo G,Comum
NZL18,Jogador NZL18,Nova Zelandia,Grupo G,Comum
NZL19,Jogador NZL19,Nova Zelandia,Grupo G,Comum
NZL20,Jogador NZL20,Nova Zelandia,Grupo G,Comum
ESP5,Jogador ESP5,Espanha,Grupo H,Comum
ESP6,Jogador ESP6,Espanha,Grupo H,Comum
ESP7,Jogador ESP7,Espanha,Grupo H,Comum
ESP8,Jogador ESP8,Espanha,Grupo H,Comum
ESP9,Jogador ESP9,Espanha,Grupo H,Comum
ESP10,Jogador ESP10,Espanha,Grupo H,Comum
ESP11,Escudo,Espanha,Grupo H,Especial
ESP12,Jogador ESP12,Espanha,Grupo H,Comum
ESP13,Jogador ESP13,Espanha,Grupo H,Comum
ESP14,Jogador ESP14,Espanha,Grupo H,Comum
ESP15,Jogador ESP15,Espanha,Grupo H,Comum
ESP16,Jogador ESP16,Espanha,Grupo H,Comum
ESP17,Jogador ESP17,Espanha,Grupo H,Comum
ESP18,Jogador ESP18,Espanha,Grupo H,Comum
ESP19,Jogador ESP19,Espanha,Grupo H,Comum
ESP20,Jogador ESP20,Espanha,Grupo H,Comum
CPV5,Jogador CPV5,Cabo Verde,Grupo H,Comum
CPV6,Jogador CPV6,Cabo Verde,Grupo H,Comum
CPV7,Jogador CPV7,Cabo Verde,Grupo H,Comum
CPV8,Jogador CPV8,Cabo Verde,Grupo H,Comum
CPV9,Jogador CPV9,Cabo Verde,Grupo H,Comum
CPV10,Jogador CPV10,Cabo Verde,Grupo H,Comum
CPV11,Escudo,Cabo Verde,Grupo H,Especial
CPV12,Jogador CPV12,Cabo Verde,Grupo H,Comum
CPV13,Jogador CPV13,Cabo Verde,Grupo H,Comum
CPV14,Jogador CPV14,Cabo Verde,Grupo H,Comum
CPV15,Jogador CPV15,Cabo Verde,Grupo H,Comum
CPV16,Jogador CPV16,Cabo Verde,Grupo H,Comum
CPV17,Jogador CPV17,Cabo Verde,Grupo H,Comum
CPV18,Jogador CPV18,Cabo Verde,Grupo H,Comum
CPV19,Jogador CPV19,Cabo Verde,Grupo H,Comum
CPV20,Jogador CPV20,Cabo Verde,Grupo H,Comum
KSA5,Jogador KSA5,Arabia Saudita,Grupo H,Comum
URU5,Jogador URU5,Uruguai,Grupo H,Comum
KSA6,Jogador KSA6,Arabia Saudita,Grupo H,Comum
URU6,Jogador URU6,Uruguai,Grupo H,Comum
KSA7,Jogador KSA7,Arabia Saudita,Grupo H,Comum
URU7,Jogador URU7,Uruguai,Grupo H,Comum
KSA8,Jogador KSA8,Arabia Saudita,Grupo H,Comum
URU8,Jogador URU8,Uruguai,Grupo H,Comum
KSA9,Jogador KSA9,Arabia Saudita,Grupo H,Comum
KSA10,Jogador KSA10,Arabia Saudita,Grupo H,Comum
KSA11,Escudo,Arabia Saudita,Grupo H,Especial
KSA12,Jogador KSA12,Arabia Saudita,Grupo H,Comum
KSA13,Jogador KSA13,Arabia Saudita,Grupo H,Comum
KSA14,Jogador KSA14,Arabia Saudita,Grupo H,Comum
KSA15,Jogador KSA15,Arabia Saudita,Grupo H,Comum
KSA16,Jogador KSA16,Arabia Saudita,Grupo H,Comum
KSA17,Jogador KSA17,Arabia Saudita,Grupo H,Comum
KSA18,Jogador KSA18,Arabia Saudita,Grupo H,Comum
KSA19,Jogador KSA19,Arabia Saudita,Grupo H,Comum
KSA20,Jogador KSA20,Arabia Saudita,Grupo H,Comum
URU9,Jogador URU9,Uruguai,Grupo H,Comum
URU10,Jogador URU10,Uruguai,Grupo H,Comum
URU11,Escudo,Uruguai,Grupo H,Especial
URU12,Jogador URU12,Uruguai,Grupo H,Comum
URU13,Jogador URU13,Uruguai,Grupo H,Comum
URU14,Jogador URU14,Uruguai,Grupo H,Comum
URU15,Jogador URU15,Uruguai,Grupo H,Comum
URU16,Jogador URU16,Uruguai,Grupo H,Comum
URU17,Jogador URU17,Uruguai,Grupo H,Comum
URU18,Jogador URU18,Uruguai,Grupo H,Comum
URU19,Jogador URU19,Uruguai,Grupo H,Comum
URU20,Jogador URU20,Uruguai,Grupo H,Comum
FRA5,Jogador FRA5,Franca,Grupo I,Comum
FRA6,Jogador FRA6,Franca,Grupo I,Comum
FRA7,Jogador FRA7,Franca,Grupo I,Comum
FRA8,Jogador FRA8,Franca,Grupo I,Comum
FRA9,Jogador FRA9,Franca,Grupo I,Comum
FRA10,Jogador FRA10,Franca,Grupo I,Comum
FRA11,Escudo,Franca,Grupo I,Especial
FRA12,Jogador FRA12,Franca,Grupo I,Comum
FRA13,Jogador FRA13,Franca,Grupo I,Comum
FRA14,Jogador FRA14,Franca,Grupo I,Comum
FRA15,Jogador FRA15,Franca,Grupo I,Comum
FRA16,Jogador FRA16,Franca,Grupo I,Comum
FRA17,Jogador FRA17,Franca,Grupo I,Comum
FRA18,Jogador FRA18,Franca,Grupo I,Comum
FRA19,Jogador FRA19,Franca,Grupo I,Comum
FRA20,Jogador FRA20,Franca,Grupo I,Comum
SEN5,Jogador SEN5,Senegal,Grupo I,Comum
SEN6,Jogador SEN6,Senegal,Grupo I,Comum
SEN7,Jogador SEN7,Senegal,Grupo I,Comum
SEN8,Jogador SEN8,Senegal,Grupo I,Comum
SEN9,Jogador SEN9,Senegal,Grupo I,Comum
SEN10,Jogador SEN10,Senegal,Grupo I,Comum
SEN11,Escudo,Senegal,Grupo I,Especial
SEN12,Jogador SEN12,Senegal,Grupo I,Comum
SEN13,Jogador SEN13,Senegal,Grupo I,Comum
SEN14,Jogador SEN14,Senegal,Grupo I,Comum
SEN15,Jogador SEN15,Senegal,Grupo I,Comum
SEN16,Jogador SEN16,Senegal,Grupo I,Comum
SEN17,Jogador SEN17,Senegal,Grupo I,Comum
SEN18,Jogador SEN18,Senegal,Grupo I,Comum
SEN19,Jogador SEN19,Senegal,Grupo I,Comum
SEN20,Jogador SEN20,Senegal,Grupo I,Comum
IRQ5,Jogador IRQ5,Iraque,Grupo I,Comum
NOR5,Jogador NOR5,Noruega,Grupo I,Comum
IRQ6,Jogador IRQ6,Iraque,Grupo I,Comum
NOR6,Jogador NOR6,Noruega,Grupo I,Comum
IRQ7,Jogador IRQ7,Iraque,Grupo I,Comum
NOR7,Jogador NOR7,Noruega,Grupo I,Comum
IRQ8,Jogador IRQ8,Iraque,Grupo I,Comum
NOR8,Jogador NOR8,Noruega,Grupo I,Comum
IRQ9,Jogador IRQ9,Iraque,Grupo I,Comum
IRQ10,Jogador IRQ10,Iraque,Grupo I,Comum
IRQ11,Escudo,Iraque,Grupo I,Especial
IRQ12,Jogador IRQ12,Iraque,Grupo I,Comum
IRQ13,Jogador IRQ13,Iraque,Grupo I,Comum
IRQ14,Jogador IRQ14,Iraque,Grupo I,Comum
IRQ15,Jogador IRQ15,Iraque,Grupo I,Comum
IRQ16,Jogador IRQ16,Iraque,Grupo I,Comum
IRQ17,Jogador IRQ17,Iraque,Grupo I,Comum
IRQ18,Jogador IRQ18,Iraque,Grupo I,Comum
IRQ19,Jogador IRQ19,Iraque,Grupo I,Comum
IRQ20,Jogador IRQ20,Iraque,Grupo I,Comum
NOR9,Jogador NOR9,Noruega,Grupo I,Comum
NOR10,Jogador NOR10,Noruega,Grupo I,Comum
NOR11,Escudo,Noruega,Grupo I,Especial
NOR12,Jogador NOR12,Noruega,Grupo I,Comum
NOR13,Jogador NOR13,Noruega,Grupo I,Comum
NOR14,Jogador NOR14,Noruega,Grupo I,Comum
NOR15,Jogador NOR15,Noruega,Grupo I,Comum
NOR16,Jogador NOR16,Noruega,Grupo I,Comum
NOR17,Jogador NOR17,Noruega,Grupo I,Comum
NOR18,Jogador NOR18,Noruega,Grupo I,Comum
NOR19,Jogador NOR19,Noruega,Grupo I,Comum
NOR20,Jogador NOR20,Noruega,Grupo I,Comum
ARG5,Jogador ARG5,Argentina,Grupo J,Comum
ARG6,Jogador ARG6,Argentina,Grupo J,Comum
ARG7,Jogador ARG7,Argentina,Grupo J,Comum
ARG8,Jogador ARG8,Argentina,Grupo J,Comum
ARG9,Jogador ARG9,Argentina,Grupo J,Comum
ARG10,Jogador ARG10,Argentina,Grupo J,Comum
ARG11,Escudo,Argentina,Grupo J,Especial
ARG12,Jogador ARG12,Argentina,Grupo J,Comum
ARG13,Jogador ARG13,Argentina,Grupo J,Comum
ARG14,Jogador ARG14,Argentina,Grupo J,Comum
ARG15,Jogador ARG15,Argentina,Grupo J,Comum
ARG16,Jogador ARG16,Argentina,Grupo J,Comum
ARG17,Jogador ARG17,Argentina,Grupo J,Comum
ARG18,Jogador ARG18,Argentina,Grupo J,Comum
ARG19,Jogador ARG19,Argentina,Grupo J,Comum
ARG20,Jogador ARG20,Argentina,Grupo J,Comum
ALG5,Jogador ALG5,Argelia,Grupo J,Comum
ALG6,Jogador ALG6,Argelia,Grupo J,Comum
ALG7,Jogador ALG7,Argelia,Grupo J,Comum
ALG8,Jogador ALG8,Argelia,Grupo J,Comum
ALG9,Jogador ALG9,Argelia,Grupo J,Comum
ALG10,Jogador ALG10,Argelia,Grupo J,Comum
ALG11,Escudo,Argelia,Grupo J,Especial
ALG12,Jogador ALG12,Argelia,Grupo J,Comum
ALG13,Jogador ALG13,Argelia,Grupo J,Comum
ALG14,Jogador ALG14,Argelia,Grupo J,Comum
ALG15,Jogador ALG15,Argelia,Grupo J,Comum
ALG16,Jogador ALG16,Argelia,Grupo J,Comum
ALG17,Jogador ALG17,Argelia,Grupo J,Comum
ALG18,Jogador ALG18,Argelia,Grupo J,Comum
ALG19,Jogador ALG19,Argelia,Grupo J,Comum
ALG20,Jogador ALG20,Argelia,Grupo J,Comum
AUT5,Jogador AUT5,Austria,Grupo J,Comum
JOR5,Jogador JOR5,Jordania,Grupo J,Comum
AUT6,Jogador AUT6,Austria,Grupo J,Comum
JOR6,Jogador JOR6,Jordania,Grupo J,Comum
AUT7,Jogador AUT7,Austria,Grupo J,Comum
JOR7,Jogador JOR7,Jordania,Grupo J,Comum
AUT8,Jogador AUT8,Austria,Grupo J,Comum
JOR8,Jogador JOR8,Jordania,Grupo J,Comum
AUT9,Jogador AUT9,Austria,Grupo J,Comum
JOR9,Jogador JOR9,Jordania,Grupo J,Comum
AUT10,Jogador AUT10,Austria,Grupo J,Comum
AUT11,Escudo,Austria,Grupo J,Especial
AUT12,Jogador AUT12,Austria,Grupo J,Comum
AUT13,Jogador AUT13,Austria,Grupo J,Comum
AUT14,Jogador AUT14,Austria,Grupo J,Comum
AUT15,Jogador AUT15,Austria,Grupo J,Comum
AUT16,Jogador AUT16,Austria,Grupo J,Comum
AUT17,Jogador AUT17,Austria,Grupo J,Comum
AUT18,Jogador AUT18,Austria,Grupo J,Comum
AUT19,Jogador AUT19,Austria,Grupo J,Comum
AUT20,Jogador AUT20,Austria,Grupo J,Comum
JOR10,Jogador JOR10,Jordania,Grupo J,Comum
JOR11,Escudo,Jordania,Grupo J,Especial
JOR12,Jogador JOR12,Jordania,Grupo J,Comum
JOR13,Jogador JOR13,Jordania,Grupo J,Comum
JOR14,Jogador JOR14,Jordania,Grupo J,Comum
JOR15,Jogador JOR15,Jordania,Grupo J,Comum
JOR16,Jogador JOR16,Jordania,Grupo J,Comum
JOR17,Jogador JOR17,Jordania,Grupo J,Comum
JOR18,Jogador JOR18,Jordania,Grupo J,Comum
JOR19,Jogador JOR19,Jordania,Grupo J,Comum
JOR20,Jogador JOR20,Jordania,Grupo J,Comum
POR5,Jogador POR5,Portugal,Grupo K,Comum
POR6,Jogador POR6,Portugal,Grupo K,Comum
POR7,Jogador POR7,Portugal,Grupo K,Comum
POR8,Jogador POR8,Portugal,Grupo K,Comum
POR9,Jogador POR9,Portugal,Grupo K,Comum
POR10,Jogador POR10,Portugal,Grupo K,Comum
POR11,Escudo,Portugal,Grupo K,Especial
POR12,Jogador POR12,Portugal,Grupo K,Comum
POR13,Jogador POR13,Portugal,Grupo K,Comum
POR14,Jogador POR14,Portugal,Grupo K,Comum
POR15,Jogador POR15,Portugal,Grupo K,Comum
POR16,Jogador POR16,Portugal,Grupo K,Comum
POR17,Jogador POR17,Portugal,Grupo K,Comum
POR18,Jogador POR18,Portugal,Grupo K,Comum
POR19,Jogador POR19,Portugal,Grupo K,Comum
POR20,Jogador POR20,Portugal,Grupo K,Comum
COD5,Jogador COD5,Congo,Grupo K,Comum
COD6,Jogador COD6,Congo,Grupo K,Comum
COD7,Jogador COD7,Congo,Grupo K,Comum
COD8,Jogador COD8,Congo,Grupo K,Comum
COD9,Jogador COD9,Congo,Grupo K,Comum
COD10,Jogador COD10,Congo,Grupo K,Comum
COD11,Escudo,Congo,Grupo K,Especial
COD12,Jogador COD12,Congo,Grupo K,Comum
COD13,Jogador COD13,Congo,Grupo K,Comum
COD14,Jogador COD14,Congo,Grupo K,Comum
COD15,Jogador COD15,Congo,Grupo K,Comum
COD16,Jogador COD16,Congo,Grupo K,Comum
COD17,Jogador COD17,Congo,Grupo K,Comum
COD18,Jogador COD18,Congo,Grupo K,Comum
COD19,Jogador COD19,Congo,Grupo K,Comum
COD20,Jogador COD20,Congo,Grupo K,Comum
UZB5,Jogador UZB5,Uzbequistao,Grupo K,Comum
COL5,Jogador COL5,Colombia,Grupo K,Comum
UZB6,Jogador UZB6,Uzbequistao,Grupo K,Comum
COL6,Jogador COL6,Colombia,Grupo K,Comum
UZB7,Jogador UZB7,Uzbequistao,Grupo K,Comum
COL7,Jogador COL7,Colombia,Grupo K,Comum
UZB8,Jogador UZB8,Uzbequistao,Grupo K,Comum
COL8,Jogador COL8,Colombia,Grupo K,Comum
UZB9,Jogador UZB9,Uzbequistao,Grupo K,Comum
UZB10,Jogador UZB10,Uzbequistao,Grupo K,Comum
UZB11,Escudo,Uzbequistao,Grupo K,Especial
UZB12,Jogador UZB12,Uzbequistao,Grupo K,Comum
UZB13,Jogador UZB13,Uzbequistao,Grupo K,Comum
UZB14,Jogador UZB14,Uzbequistao,Grupo K,Comum
UZB15,Jogador UZB15,Uzbequistao,Grupo K,Comum
UZB16,Jogador UZB16,Uzbequistao,Grupo K,Comum
UZB17,Jogador UZB17,Uzbequistao,Grupo K,Comum
UZB18,Jogador UZB18,Uzbequistao,Grupo K,Comum
UZB19,Jogador UZB19,Uzbequistao,Grupo K,Comum
UZB20,Jogador UZB20,Uzbequistao,Grupo K,Comum
COL9,Jogador COL9,Colombia,Grupo K,Comum
COL10,Jogador COL10,Colombia,Grupo K,Comum
COL11,Escudo,Colombia,Grupo K,Especial
COL12,Jogador COL12,Colombia,Grupo K,Comum
COL13,Jogador COL13,Colombia,Grupo K,Comum
COL14,Jogador COL14,Colombia,Grupo K,Comum
COL15,Jogador COL15,Colombia,Grupo K,Comum
COL16,Jogador COL16,Colombia,Grupo K,Comum
COL17,Jogador COL17,Colombia,Grupo K,Comum
COL18,Jogador COL18,Colombia,Grupo K,Comum
COL19,Jogador COL19,Colombia,Grupo K,Comum
COL20,Jogador COL20,Colombia,Grupo K,Comum
ENG5,Jogador ENG5,Inglaterra,Grupo L,Comum
ENG6,Jogador ENG6,Inglaterra,Grupo L,Comum
ENG7,Jogador ENG7,Inglaterra,Grupo L,Comum
ENG8,Jogador ENG8,Inglaterra,Grupo L,Comum
ENG9,Jogador ENG9,Inglaterra,Grupo L,Comum
ENG10,Jogador ENG10,Inglaterra,Grupo L,Comum
ENG11,Escudo,Inglaterra,Grupo L,Especial
ENG12,Jogador ENG12,Inglaterra,Grupo L,Comum
ENG13,Jogador ENG13,Inglaterra,Grupo L,Comum
ENG14,Jogador ENG14,Inglaterra,Grupo L,Comum
ENG15,Jogador ENG15,Inglaterra,Grupo L,Comum
ENG16,Jogador ENG16,Inglaterra,Grupo L,Comum
ENG17,Jogador ENG17,Inglaterra,Grupo L,Comum
ENG18,Jogador ENG18,Inglaterra,Grupo L,Comum
ENG19,Jogador ENG19,Inglaterra,Grupo L,Comum
ENG20,Jogador ENG20,Inglaterra,Grupo L,Comum
CRO5,Jogador CRO5,Croacia,Grupo L,Comum
CRO6,Jogador CRO6,Croacia,Grupo L,Comum
CRO7,Jogador CRO7,Croacia,Grupo L,Comum
CRO8,Jogador CRO8,Croacia,Grupo L,Comum
CRO9,Jogador CRO9,Croacia,Grupo L,Comum
CRO10,Jogador CRO10,Croacia,Grupo L,Comum
CRO11,Escudo,Croacia,Grupo L,Especial
CRO12,Jogador CRO12,Croacia,Grupo L,Comum
CRO13,Jogador CRO13,Croacia,Grupo L,Comum
CRO14,Jogador CRO14,Croacia,Grupo L,Comum
CRO15,Jogador CRO15,Croacia,Grupo L,Comum
CRO16,Jogador CRO16,Croacia,Grupo L,Comum
CRO17,Jogador CRO17,Croacia,Grupo L,Comum
CRO18,Jogador CRO18,Croacia,Grupo L,Comum
CRO19,Jogador CRO19,Croacia,Grupo L,Comum
CRO20,Jogador CRO20,Croacia,Grupo L,Comum
GHA5,Jogador GHA5,Gana,Grupo L,Comum
PAN5,Jogador PAN5,Panama,Grupo L,Comum
GHA6,Jogador GHA6,Gana,Grupo L,Comum
PAN6,Jogador PAN6,Panama,Grupo L,Comum
GHA7,Jogador GHA7,Gana,Grupo L,Comum
PAN7,Jogador PAN7,Panama,Grupo L,Comum
GHA8,Jogador GHA8,Gana,Grupo L,Comum
PAN8,Jogador PAN8,Panama,Grupo L,Comum
GHA9,Jogador GHA9,Gana,Grupo L,Comum
GHA10,Jogador GHA10,Gana,Grupo L,Comum
GHA11,Escudo,Gana,Grupo L,Especial
GHA12,Jogador GHA12,Gana,Grupo L,Comum
GHA13,Jogador GHA13,Gana,Grupo L,Comum
GHA14,Jogador GHA14,Gana,Grupo L,Comum
GHA15,Jogador GHA15,Gana,Grupo L,Comum
